iter	Passed	Remaining
734	10375	3740
735	10386	3725
736	10395	3709
737	10413	3697
738	10423	3681
739	10434	3666
740	10444	3650
741	10458	3636
742	10470	3621
743	10488	3609
744	10501	3594
745	10507	3577
746	10519	3562
747	10531	3548
748	10542	3532
749	10551	3517
750	10564	3502
751	10590	3492
752	10605	3478
753	10619	3464
754	10633	3450
755	10638	3433
756	10644	3416
757	10656	3402
758	10685	3393
759	10693	3376
760	10714	3364
761	10727	3350
762	10743	3337
763	10750	3320
764	10763	3306
765	10774	3291
766	10782	3275
767	10790	3259
768	10805	3245
769	10816	3230
770	10841	3220
771	10853	3205
772	10868	3191
773	10895	3181
774	10909	3167
775	10928	3154
776	10939	3139
777	10951	3125
778	10959	3109
779	10976	3096
780	10992	3082
781	11006	3068
782	11026	3055
783	11046	3043
784	11065	3030
785	11079	3016
786	11089	3001
787	11103	2987
788	11118	2973
789	11132	2959
790	11136	2942
791	11138	2925
792	11150	2910
793	11160	2895
794	11171	2880
795	11188	2867
796	11209	2855
797	11222	2840
798	11237	2826
799	11251	2812
800	11258	2797
801	11266	2781
802	11270	2764
803	11295	2753
804	11302	2737
805	11311	2722
806	11321	2707
807	11330	2692
808	11338	2677
809	11350	2662
810	11368	2649
811	11386	2636
812	11400	2622
813	11413	2607
814	11426	2593
815	11438	2579
816	11458	2566
817	11488	2556
818	11503	2542
819	11522	2529
820	11542	2516
821	11550	2501
822	11569	2488
823	11598	2477
824	11611	2463
825	11627	2449
826	11648	2436
827	11663	2422
828	11670	2407
829	11682	2392
830	11706	2380
831	11740	2370
832	11762	2358
833	11789	2346
834	11798	2331
835	11824	2319
836	11835	2304
837	11841	2289
838	11854	2274
839	11863	2259
840	11878	2245
841	11896	2232
842	11919	2219
843	11925	2204
844	11937	2189
845	11951	2175
846	11960	2160
847	11976	2146
848	11993	2133
849	12008	2119
850	12022	2105
851	12034	2090
852	12052	2076
853	12065	2062
854	12076	2048
855	12087	2033
856	12104	2019
857	12123	2006
858	12142	1993
859	12149	1977
860	12159	1963
861	12165	1947
862	12175	1932
863	12192	1919
864	12206	1904
865	12218	1890
866	12232	1876
867	12244	1862
868	12251	1846
869	12261	1832
870	12270	1817
871	12288	1803
872	12295	1788
873	12317	1775
874	12348	1764
875	12353	1748
876	12362	1733
877	12377	1719
878	12385	1704
879	12396	1690
880	12412	1676
881	12432	1663
882	12445	1649
883	12462	1635
884	12477	1621
885	12490	1607
886	12506	1593
887	12526	1579
888	12544	1566
889	12567	1553
890	12580	1538
891	12594	1524
892	12609	1510
893	12635	1498
894	12651	1484
895	12668	1470
896	12680	1456
897	12693	1441
898	12708	1427
899	12725	1413
900	12742	1400
901	12761	1386
902	12770	1371
903	12775	1356
904	12795	1343
905	12806	1328
906	12820	1314
907	12835	1300
908	12854	1286
909	12868	1272
910	12884	1258
911	12889	1243
912	12903	1229
913	12916	1215
914	12931	1201
915	12948	1187
916	12962	1173
917	12981	1159
918	12996	1145
919	13009	1131
920	13019	1116
921	13035	1102
922	13043	1088
923	13063	1074
924	13073	1060
925	13086	1045
926	13105	1032
927	13119	1017
928	13128	1003
929	13141	989
930	13158	975
931	13168	960
932	13178	946
933	13194	932
934	13206	918
935	13223	904
936	13240	890
937	13255	876
938	13274	862
939	13284	847
940	13302	834
941	13316	819
942	13334	806
943	13342	791
944	13350	776
945	13360	762
946	13376	748
947	13389	734
948	13415	720
949	13434	707
950	13449	692
951	13465	678
952	13478	664
953	13491	650
954	13500	636
955	13519	622
956	13541	608
957	13558	594
958	13587	580
959	13606	566
960	13627	553
961	13646	539
962	13665	525
963	13680	510
964	13695	496
965	13710	482
966	13719	468
967	13744	454
968	13753	440
969	13759	425
970	13775	411
971	13780	396
972	13799	382
973	13814	368
974	13829	354
975	13862	340
976	13875	326
977	13887	312
978	13901	298
979	13923	284
980	13937	269
981	13947	255
982	13951	241
983	13959	226
984	13973	212
985	13988	198
986	14007	184
987	14021	170
988	14040	156
989	14050	141
990	14067	127
991	14078	113
992	14092	99
993	14106	85
994	14119	70
995	14130	56
996	14140	42
997	14148	28
998	14168	14
999	14175	0
